dID,dName,dSize,state,language,granularity,repository
1,Prop,,public,,class,
2,Camel,113,,Java,class,Promise
3,MC1,,,,module,
4,MC2,,,,mothod,
5,JM1,,,C,module,
6,ML(mylyn),,,,class,AEEEM
7,LC(Lucene),441,,Java,class,AEEEM
8,Telecom,,,,,
9,ERP,,,,,
10,Scopira,,,,,
11,openPDC,,,,,
12,commApp,,,,,
13,Eclipse JDT,1979,,Java,class,
14,ApacheCamel,,,,,
15,ApacheActiveMQ,,,,,
16,ApacheLucene,,,,,
17,Tomcat,207,,,,
18,Ant,208,public,Java,class,Promise
19,LLTS,,,,,
20,Jedit,117,,,,
21,Velocity,57,,Java,class,Promise
22,Synapse,,,,,
23,Poi,245,,Java,class,Promise
24,Xalan,411,,Java,class,Promise
25,Ivy,87,,Java,class,Promise
26,MW1,,,C,method,
27,PC1,,,C,method,
28,PC2,,,C,,
29,PC3,,,C,method,
30,PC4,,,C,method,
31,PC5,,,,method,
32,CM1,,,C,method,
33,KC1,,,C++,class,
34,KC2,,,C++,,
35,KC3,,,,method,
36,KC4,,,,method,
37,AR1,,,,,softlab
38,AR3,,,,,softlab
39,AR4,,,,,softlab
40,AR5,,,,,softlab
41,AR6,,,,,softlab
42,EQ(Equinox),,,,,AEEEM
43,Xerces,141,,Java,class,Promise
44,JHotDraw,80,,,,
45,FT P4J,,,,,
46,ISO8583,,,,,
47,Profiler4J,,,,,
48,WinRun4J,,,,,
49,Cxf,,,,,
50,Flume,,,,,
51,Hbase,571,,Java,,
52,Hive,,,,,
53,log4j,56,,,,
54,Firefox,2881,public,C/C++,,
55,arc,,,,,
56,berek,,,,,
57,e-learning,,,,,
58,intercafe,,,,,
59,kalkulator,,,,,
60,nieruchomosci,,,,,
61,pdftranslator,,,,,
62,redaktor,,,,,
63,serapion,,,,,
64,skarbonka,,,,,
65,sklebagd,,,,,
66,systemdata,,,,,
67,szybkafucha,,,,,
68,termoproject,,,,,
69,workflow,,,,,
70,wspomaganiepi,,,,,
71,zuzel,,,,,
72,forrest,,,,,
73,Code4Bench,2356,public,C/C++,,
74,Safe,,,,,Relink
75,Zxing,,,,,Relink
76,Apache,,,,,Relink
77,SWT,,,,,
78,Eclipse PDE,,,,,AEEEM
79,PLA(Eclipse Platform),,,,,
80,MOZ(Mozilla),,,,,
81,POS(PostgreSQL),,,,,
82,COL(columba),,,,,
83,BUG(bugzilla),,,,,
84,activeMQ,,,,,
85,Derby,,,,,
86,Groovy,,,,,
87,Jruby,,,,,
88,Wicket,,,,,
89,Calcite,,,,,
90,commercial,,commercial,,,
91,private,,private,,,
92,MODIST,1145.2,public,C,,
93,Eclipse,,,,,
