dID,dName,dSize_hand,dSize,state,language,granularity,repository
1,Prop,大,670k,public,Java,class,Promise
2,Camel,中,92k,public,Java,class,Promise
3,MC1,大,998k,public,unknown,module,NASA
4,MC2,小,161方法,public,unknown,mothod,NASA
5,JM1,大,841k,public,C,module,NASA
6,ML(mylyn),大,2196类,public,Java,class,AEEEM
7,LC(Lucene),大,441k,public,Java,class,AEEEM/Promise
8,Telecom,unknown,unknown,public,unknown,unknown,unknown
9,ERP,unknown,unknown,public,unknown,unknown,unknown
10,Scopira,unknown,unknown,public,unknown,unknown,unknown
11,openPDC,unknown,unknown,public,unknown,unknown,unknown
12,commApp,unknown,unknown,public,unknown,unknown,unknown
13,Eclipse JDT,中,997类,public,Java,class/statement,AEEEM
17,Tomcat,中,207k,public,Java,class,Promise
18,Ant,中,208k,public,Java,class,Promise
19,LLTS,unknown,unknown,commercial,unknown,unknown,unknown
20,Jedit,中,142k,public,Java,class,Promise
21,Velocity,中,229类,public,Java,class,Promise
22,Synapse,小,47k,public,Java,class,Promise
23,Poi,中,245k,public,Java,class,Promise
24,Xalan,大,350k,public,Java,class,Promise
25,Ivy,中,352类,public,Java,class,Promise
26,MW1,中,403模块,public,C,method,NASA
27,PC1,大,1107模块,public,C,method,NASA
28,PC2,大,5589模块,public,C,module,NASA
29,PC3,大,1563模块,public,C,method,NASA
30,PC4,大,1458模块,public,C,method,NASA
31,PC5,大,17186方法,public,C,method,NASA
32,CM1,中,505模块  ,public,C,method,NASA
33,KC1,大,2096模块,public,C++,class,NASA
34,KC2,中,522模块,public,C++,module,NASA
35,KC3,中,200类,public,Java,method,NASA
36,KC4,小,125方法,public,unknown,method,NASA
37,AR1,小,121文件,public,unknown,unknown,softlab
38,AR3,unknown,unknown,public,unknown,unknown,softlab
39,AR4,小,107文件,public,unknown,unknown,softlab
40,AR5,小,36文件,public,unknown,unknown,softlab
41,AR6,unknown,unknown,public,unknown,unknown,softlab
42,EQ(Equinox),中,439类,public,Java,class,AEEEM
43,Xerces,大,540k,public,Java,class,Promise
44,JHotDraw,中,80k,public,Java,unknown,unknown
49,Cxf,中,153k,public,Java,package,unknown
50,Flume,小,38k,public,Java,package,unknown
51,Hbase,大,571k,public,Java,package/module,unknown
52,Hive,大,394k,public,Java,package/module,unknown
53,log4j,小,20k,public,Java,class,Promise
54,Firefox,大,2881k,public,C++,module,unknown
55,arc,中,234类,public,unknown,class,unknown
56,berek,小,43类,public,unknown,class,Promise
57,e-learning,小,64类,public,unknown,class,unknown
58,intercafe,小,27类,public,unknown,class,Promise
59,kalkulator,小,27类,public,unknown,class,unknown
60,nieruchomosci,小,27类,public,unknown,class,Promise
61,pdftranslator,小,33类,public,unknown,class,Promise
62,redaktor,小,176类,public,unknown,class,Promise
63,serapion,小,45类,public,unknown,class,Promise
64,skarbonka,小,45类,public,unknown,class,unknown
65,sklebagd,小,20类,public,unknown,class,unknown
66,systemdata,小,65类,public,unknown,class,Promise
67,szybkafucha,小,25类,public,unknown,class,unknown
68,termoproject,小,42类,public,unknown,class,Promise
69,workflow,小,39类,public,unknown,class,unknown
70,wspomaganiepi,小,18类,public,unknown,class,unknown
71,zuzel,小,29类,public,unknown,class,unknown
72,forrest,小,32类,public,unknown,class,Promise
73,Code4Bench,大,2356k,public,C/C++,file,unknown
74,Safe,小,56文件,public,unknown,file,Relink
75,Zxing,中,399文件,public,unknown,file,Relink
76,Apache,小,194文件,public,unknown,file,Relink
77,SWT,大,1485模块,public,unknown,unknown,unknown
78,Eclipse PDE,大,3478类,public,Java,class,AEEEM
79,PLA(Eclipse Platform),unknown,unknown,public,unknown,statement,unknown
80,MOZ(Mozilla),大,15645k,public,unknown,statement,unknown
81,POS(PostgreSQL),unknown,unknown,public,unknown,statement,unknown
82,COL(columba),unknown,unknown,public,unknown,statement,unknown
83,BUG(bugzilla),unknown,unknown,public,unknown,statement,unknown
84,activeMQ,unknown,unknown,public,unknown,unknown,unknown
85,Derby,大,475k,public,unknown,module,unknown
86,Groovy,中,71k,public,unknown,module,unknown
87,Jruby,中,148k,public,unknown,module,unknown
88,Wicket,中,125k,public,unknown,module,unknown
89,Calcite,大,1300模块,public,unknown,module,unknown
90,commercial,unknown,unknown,commercial,unknown,unknown,unknown
91,private,unknown,unknown,private,unknown,unknown,unknown
92,MODIST,大,1145.2k,public,C,unknown,unknown
93,Eclipse,大,1979k,public,Java,module/statement,unknown
