ID,tID,category
1,5,metrics
1,2,metrics
1,1,metrics
1,24,metrics
2,1,metrics
3,6,metrics
4,20,netwrok
6,20,metrics
8,20,metrics
7,7,metrics
5,2,metrics
5,1,metrics
5,3,metrics
9,8,metrics
9,2,metrics
9,1,metrics
9,4,metrics
9,20,metrics
10,11,metrics
10,2,metrics
10,9,metrics
10,3,metrics
11,5,metrics
11,2,metrics
11,1,metrics
11,3,metrics
12,10,metrics
13,20,metrics
14,1,metrics
15,2,metrics
16,2,metrics
16,1,metrics
16,3,metrics
17,11,metrics
17,2,metrics
17,9,metrics
17,1,metrics
17,3,metrics
18,2,metrics
18,1,metrics
18,4,metrics
18,3,metrics
18,20,metrics
19,2,network
20,20,metrics
21,5,metrics
21,2,metrics
21,1,metrics
21,4,metrics
22,2,metrics
23,10,metrics
25,2,network
26,21,network
27,1,metrics
29,21,metrics
29,4,metrics
28,5,metrics
28,11,metrics
28,1,metrics
30,12,metrics
31,12,metrics
31,5,metrics
31,11,metrics
31,1,metrics
31,4,metrics
31,3,metrics
32,11,metrics
33,5,metrics
33,1,metrics
33,4,metrics
33,3,metrics
36,12,metrics
36,8,metrics
36,11,metrics
36,1,metrics
36,4,metrics
36,3,metrics
37,5,metrics
37,11,metrics
37,4,metrics
38,12,metrics
38,3,metrics
40,5,metrics
40,2,metrics
40,1,metrics
40,4,metrics
40,3,metrics
42,13,metrics
41,21,metrics
43,5,metrics
43,11,metrics
43,1,metrics
44,17,metrics
45,8,metrics
45,21,metrics
45,4,metrics
46,5,metrics
46,1,metrics
46,4,metrics
47,14,semantic
48,12,metrics
49,5,metrics
49,11,metrics
49,2,metrics
49,1,metrics
50,5,metrics
50,11,metrics
50,2,metrics
50,1,metrics
51,14,semantic
52,11,metrics
52,1,metrics
52,3,metrics
53,5,metrics
53,2,metrics
53,9,metrics
54,13,metrics
55,5,metrics
55,11,metrics
55,1,metrics
56,7,metrics
57,12,metrics
58,5,metrics
58,11,metrics
58,21,metrics
58,9,metrics
58,1,metrics
58,3,metrics
59,1,metrics
59,4,metrics
60,2,metrics
61,23,semantic
62,14,semantic
63,8,metrics
63,5,metrics
63,9,metrics
63,4,metrics
64,8,metrics
65,14,semantic
66,15,semantic
67,17,metrics
68,4,metrics
68,3,metrics
69,18,metrics
70,13,metrics
71,11,metrics
71,2,metrics
71,1,metrics
72,2,metrics
72,9,metrics
72,1,metrics
73,20,metrics
74,14,semantic
75,5,metrics
75,11,metrics
75,3,metrics
76,5,metrics
76,11,metrics
76,6,metrics
76,3,metrics
77,8,metrics
77,5,metrics
77,11,metrics
77,21,metrics
77,9,metrics
77,4,metrics
77,3,metrics
78,15,semantic
78,14,semantic
79,2,network
79,4,network
79,3,network
80,14,semantic
81,5,metrics
81,11,metrics
81,6,metrics
81,1,metrics
81,4,metrics
82,5,metrics
82,1,metrics
83,5,metrics
83,2,metrics
84,1,metrics
85,3,metrics
86,2,metrics
87,2,metrics
89,11,metrics
89,2,metrics
89,1,metrics
90,5,metrics
90,2,metrics
90,4,metrics
90,3,metrics
90,20,metrics
91,1,metrics
91,20,metrics
92,14,semantic
93,5,metrics
93,1,metrics
94,4,metrics
96,18,metrics
97,1,network
97,4,network
98,15,semantic
98,16,network
101,18,metrics
101,3,metrics
102,5,metrics
103,12,network
104,3,metrics
105,16,network
105,9,network
106,12,metrics
106,5,metrics
106,11,metrics
106,1,metrics
106,3,metrics
107,14,semantic
109,20,semantic
110,5,metrics
110,9,metrics
110,1,metrics
110,4,metrics
110,3,metrics
111,2,metrics
112,15,semantic
113,15,semantic
113,17,semantic
113,16,semantic
115,1,metrics
115,3,metrics
116,14,semantic
118,11,metrics
118,2,metrics
118,4,metrics
118,3,metrics
119,4,metrics
120,22,metrics
121,2,metrics
121,1,metrics
121,19,metrics
121,4,metrics
117,8,metrics
117,4,metrics
117,3,metrics
114,17,semantic
