journal name,journal source
INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,SPRINGERNATURE
JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,WORLD SCIENTIFIC PUBL CO PTE LTD
REQUIREMENTS ENGINEERING,SPRINGER
IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
JOURNAL OF KING SAUD UNIVERSITY-COMPUTER AND INFORMATION SCIENCES,ELSEVIER
PEERJ COMPUTER SCIENCE,PEERJ INC
COMPLEX & INTELLIGENT SYSTEMS,SPRINGER HEIDELBERG
SOFTWARE QUALITY JOURNAL,SPRINGER
TEHNICKI VJESNIK-TECHNICAL GAZETTE,"UNIV OSIJEK, TECH FAC"
IEEE TRANSACTIONS ON RELIABILITY,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,SPRINGER HEIDELBERG
SCIENCE OF COMPUTER PROGRAMMING,ELSEVIER
SOFTWARE-PRACTICE & EXPERIENCE,WILEY
NEUROCOMPUTING,ELSEVIER
KNOWLEDGE-BASED SYSTEMS,ELSEVIER
INFORMATION AND SOFTWARE TECHNOLOGY,ELSEVIER
AUTOMATED SOFTWARE ENGINEERING,SPRINGER
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,WORLD SCIENTIFIC PUBL CO PTE LTD
CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,SPRINGER
COMPUTER STANDARDS & INTERFACES,ELSEVIER
INFORMATION SCIENCES,ELSEVIER SCIENCE INC
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,SCIENCE PRESS
APPLIED SOFT COMPUTING,ELSEVIER
PERFORMANCE EVALUATION,ELSEVIER
COMPUTERS & ELECTRICAL ENGINEERING,PERGAMON-ELSEVIER SCIENCE LTD
MATHEMATICAL PROBLEMS IN ENGINEERING,Hindawi Ltd
JOURNAL OF SUPERCOMPUTING,SPRINGER
CMC-COMPUTERS MATERIALS & CONTINUA,TECH SCIENCE PRESS
EXPERT SYSTEMS,WILEY
IET SOFTWARE,WILEY
SOFT COMPUTING,SPRINGER
FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,ZHEJIANG UNIV PRESS
INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,ZARKA PRIVATE UNIV
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,IEICE-INST ELECTRONICS INFORMATION COMMUNICATION ENGINEERS
COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,Hindawi Ltd
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE COMPUTER SOC
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,WILEY
EXPERT SYSTEMS WITH APPLICATIONS,PERGAMON-ELSEVIER SCIENCE LTD
COMPUTER SCIENCE AND INFORMATION SYSTEMS,COMSIS CONSORTIUM
SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,SPRINGER INDIA
PLOS ONE,PUBLIC LIBRARY SCIENCE
IEEE ACCESS,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
SCIENTIFIC PROGRAMMING,Hindawi Ltd
INTELLIGENT AUTOMATION AND SOFT COMPUTING,TECH SCIENCE PRESS
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,WORLD SCIENTIFIC PUBL CO PTE LTD
IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
ELECTRONICS,MDPI
WIRELESS COMMUNICATIONS & MOBILE COMPUTING,Wiley-Hindawi
ALEXANDRIA ENGINEERING JOURNAL,ELSEVIER
ENTROPY,MDPI
APPLIED SCIENCES-BASEL,MDPI
MULTIMEDIA TOOLS AND APPLICATIONS,SPRINGER
SCIENCE CHINA-INFORMATION SCIENCES,SCIENCE PRESS
NEURAL COMPUTING & APPLICATIONS,SPRINGER LONDON LTD
SECURITY AND COMMUNICATION NETWORKS,Wiley-Hindawi
EMPIRICAL SOFTWARE ENGINEERING,SPRINGER
KNOWLEDGE AND INFORMATION SYSTEMS,SPRINGER LONDON LTD
JOURNAL OF SYSTEMS ENGINEERING AND ELECTRONICS,"SYSTEMS ENGINEERING & ELECTRONICS, EDITORIAL DEPT"
JOURNAL OF SYSTEMS AND SOFTWARE,ELSEVIER SCIENCE INC
INFORMATION PROCESSING LETTERS,ELSEVIER
